Initial points a0=-0.200000, f(a0)=-8.008000, b0=3.000000, f(b0)=19.000000
a1=3.0000000000000000, f(a1)=19.0000000000000000, b1=0.7488151658767772, f(b1)=-7.5801212506244724
a2=0.7488151658767772, f(a2)=-7.5801212506244724, b2=1.3908082493289478, f(b2)=-5.3096934197633203
a3=1.3908082493289478, f(a3)=-5.3096934197633203, b3=2.8921933206380119, f(b3)=16.1925672188360288
a4=2.8921933206380119, f(a4)=16.1925672188360288, b4=1.7615550544044121, f(b4)=-2.5337604186048761
a5=1.7615550544044121, f(a5)=-2.5337604186048761, b5=1.9145357424606759, f(b5)=-0.9823704974150713
a6=1.9145357424606759, f(a6)=-0.9823704974150713, b6=2.0114061117779363, f(b6)=0.1376554215787174
a7=2.0114061117779363, f(a7)=0.1376554215787174, b7=1.9995003770081257, f(b7)=-0.0059939782884051
a8=1.9995003770081257, f(a8)=-0.0059939782884051, b8=1.9999971609542038, f(b8)=-0.0000340685011935
a9=1.9999971609542038, f(a9)=-0.0000340685011935, b9=2.0000000007093450, f(b9)=0.0000000085121403
a10=2.0000000007093450, f(a10)=0.0000000085121403, b10=1.9999999999999989, f(b10)=-0.0000000000000133
